cik_str,ticker,title
0000320193,AAPL,Apple Inc.
0000789019,MSFT,MICROSOFT CORP
0001652044,GOOGL,Alphabet Inc.
0001018724,AMZN,AMAZON COM INC
0001045810,NVDA,NVIDIA CORP
0001067983,BRK-B,BERKSHIRE HATHAWAY INC
0001326801,META,"Meta Platforms, Inc."
0001318605,TSLA,"Tesla, Inc."
0001046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
0001403161,V,VISA INC.
0000824046,LVMUY,LVMH MOET HENNESSY LOUIS VUITTON
0000731766,UNH,UNITEDHEALTH GROUP INC
0000034088,XOM,EXXON MOBIL CORP
0000059478,LLY,ELI LILLY & Co
0000200406,JNJ,JOHNSON & JOHNSON
0000019617,JPM,JPMORGAN CHASE & CO
0000104169,WMT,Walmart Inc.
0000884394,SPY,SPDR S&P 500 ETF TRUST
0000353278,NVO,NOVO NORDISK A S
0001517681,PPCB,"Propanc Biopharma, Inc."
0001141391,MA,Mastercard Inc
0000080424,PG,PROCTER & GAMBLE Co
0001730168,AVGO,Broadcom Inc.
0001545460,OLCLY,"Oriental Land Co., Ltd./ADR"
0000354950,HD,"HOME DEPOT, INC."
0000093410,CVX,CHEVRON CORP
0000937966,ASML,ASML HOLDING NV
0000310158,MRK,"Merck & Co., Inc."
0001341439,ORCL,ORACLE CORP
0000021344,KO,COCA COLA CO
0000077476,PEP,PEPSICO INC
0001551152,ABBV,AbbVie Inc.
0000070858,BAC,BANK OF AMERICA CORP /DE/
0000909832,COST,COSTCO WHOLESALE CORP /NEW
0000901832,AZN,ASTRAZENECA PLC
0000078003,PFE,PFIZER INC
0001108524,CRM,"Salesforce, Inc."
0000063908,MCD,MCDONALDS CORP
0001577552,BABA,Alibaba Group Holding Ltd
0001114448,NVS,NOVARTIS AG
0000002488,AMD,ADVANCED MICRO DEVICES INC
0000811809,BHP,BHP Group Ltd
0000858877,CSCO,"CISCO SYSTEMS, INC."
0000097745,TMO,THERMO FISHER SCIENTIFIC INC.
0001306965,SHEL,Shell plc
0001467373,ACN,Accenture plc
0000796343,ADBE,ADOBE INC.
0001094517,TM,TOYOTA MOTOR CORP/
0000001800,ABT,ABBOTT LABORATORIES
0001061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC
0001707925,LIN,LINDE PLC
0001047716,LTMAY,LATAM AIRLINES GROUP S.A.
0000313616,DHR,DANAHER CORP /DE/
0001065280,NFLX,NETFLIX INC
0000320187,NKE,"NIKE, Inc."
0001166691,CMCSA,COMCAST CORP
0001283699,TMUS,"T-Mobile US, Inc."
0001744489,DIS,Walt Disney Co
0000097476,TXN,TEXAS INSTRUMENTS INC
0000072971,WFC,WELLS FARGO & COMPANY/MN
0001000184,SAP,SAP SE
0001089113,HSBC,HSBC HOLDINGS PLC
0000753308,NEE,NEXTERA ENERGY INC
0001090727,UPS,UNITED PARCEL SERVICE INC
0000732712,VZ,VERIZON COMMUNICATIONS INC
0000879764,TTE,TotalEnergies SE
0001413329,PM,Philip Morris International Inc.
0000895421,MS,MORGAN STANLEY
0001067839,QQQ,"INVESCO QQQ TRUST, SERIES 1"
0000101829,RTX,RAYTHEON TECHNOLOGIES CORP
0000014272,BMY,BRISTOL MYERS SQUIBB CO
0001121404,SNY,Sanofi
0000217410,UL,UNILEVER PLC
0000773840,HON,HONEYWELL INTERNATIONAL INC
0001442651,SHECY,"Shin-Etsu Chemical Co., Ltd."
0001000275,RY,ROYAL BANK OF CANADA
0001163165,COP,CONOCOPHILLIPS
0000804328,QCOM,QUALCOMM INC/DE
0000012927,BA,BOEING CO
0000060667,LOW,LOWES COMPANIES INC
0000050863,INTC,INTEL CORP
0001144967,HDB,HDFC BANK LTD
0000313838,SONY,Sony Group Corp
0000100885,UNP,UNION PACIFIC CORP
0000896878,INTU,INTUIT INC.
0000051143,IBM,INTERNATIONAL BUSINESS MACHINES CORP
0000004962,AXP,AMERICAN EXPRESS CO
0000318154,AMGN,AMGEN INC
0000064040,SPGI,S&P Global Inc.
0001045609,PLD,"Prologis, Inc."
0000006951,AMAT,APPLIED MATERIALS INC /DE
0000936468,LMT,LOCKHEED MARTIN CORP
0001668717,BUD,Anheuser-Busch InBev SA/NV
0000829224,SBUX,STARBUCKS CORP
0000887028,RTNTF,RIO TINTO LTD
0000040545,GE,GENERAL ELECTRIC CO
0000732717,T,AT&T INC.
0000886982,GS,GOLDMAN SACHS GROUP INC
0001373715,NOW,"ServiceNow, Inc."
0000018230,CAT,CATERPILLAR INC
0001613103,MDT,Medtronic plc
0001035267,ISRG,INTUITIVE SURGICAL INC
0001378580,EADSY,Airbus SE/ADR
0000315189,DE,DEERE & CO
0001156039,ELV,"Elevance Health, Inc."
0000947263,TD,TORONTO DOMINION BANK
0000313807,BP,BP PLC
0000310764,SYK,STRYKER CORP
0001393818,BX,Blackstone Inc.
0001103982,MDLZ,"Mondelez International, Inc."
0001364742,BLK,BlackRock Inc.
0000863064,RIO,RIO TINTO PLC
0000835403,DEO,DIAGEO PLC
0000316709,SCHW,SCHWAB CHARLES CORP
0000882095,GILD,"GILEAD SCIENCES, INC."
0001274152,CSLLY,CSL LTD
0001075531,BKNG,Booking Holdings Inc.
0001737806,PDD,PDD Holdings Inc.
0000109198,TJX,TJX COMPANIES INC /DE/
0000006281,ADI,ANALOG DEVICES INC
0000008670,ADP,AUTOMATIC DATA PROCESSING INC
0000831001,C,CITIGROUP INC
0000064803,CVS,CVS HEALTH Corp
0000062709,MMC,"MARSH & MCLENNAN COMPANIES, INC."
0000875320,VRTX,VERTEX PHARMACEUTICALS INC / MA
0001053507,AMT,AMERICAN TOWER CORP /MA/
0000707549,LRCX,LAM RESEARCH CORP
0001140625,EQNR,EQUINOR ASA
0001067318,MBGYY,DAIMLER AG
0000723125,MU,MICRON TECHNOLOGY INC
0001103838,IBN,ICICI BANK LTD
0000764180,MO,"ALTRIA GROUP, INC."
0000872589,REGN,"REGENERON PHARMACEUTICALS, INC."
0000896159,CB,Chubb Ltd
0000067088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC
0001119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA
0001543151,UBER,"Uber Technologies, Inc"
0001303523,BTI,British American Tobacco p.l.c.
0001555280,ZTS,Zoetis Inc.
0001594805,SHOP,SHOPIFY INC.
0000092122,SO,SOUTHERN CO
0000016868,CNI,CANADIAN NATIONAL RAILWAY CO
0001463157,PBCRY,PT Bank Central Asia Tbk / ADR
0000080661,PGR,PROGRESSIVE CORP/OH/
0000885725,BSX,BOSTON SCIENTIFIC CORP
0000748954,ATLKY,ATLAS COPCO AB
0000860730,HCA,"HCA Healthcare, Inc."
0001551182,ETN,Eaton Corp plc
0000895728,ENB,ENBRIDGE INC
0001739940,CI,Cigna Group
0000016875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN
0001129137,AMX,AMERICA MOVIL SAB DE CV/
0000798354,FISV,FISERV INC
0001131399,GSK,GSK PLC
0001001250,EL,ESTEE LAUDER COMPANIES INC
0001091587,ABBNY,ABB LTD
0000010795,BDX,BECTON DICKINSON & CO
0000049826,ITW,ILLINOIS TOOL WORKS INC
0001326160,DUK,Duke Energy CORP
0001101239,EQIX,EQUINIX INC
0001443276,TOELY,Tokyo Electron LTD
0000883241,SNPS,SYNOPSYS INC
0001559720,ABNB,"Airbnb, Inc."
0001633917,PYPL,"PayPal Holdings, Inc."
0001133421,NOC,NORTHROP GRUMMAN CORP /DE/
0001067491,INFY,Infosys Ltd
0000823768,WM,WASTE MANAGEMENT INC
0001327567,PANW,Palo Alto Networks Inc
0001096200,ENLAY,ENEL SOCIETA PER AZIONI
0000821189,EOG,EOG RESOURCES INC
0001099590,MELI,MERCADOLIBRE INC
0000027419,TGT,TARGET CORP
0001156375,CME,CME GROUP INC.
0000315293,AON,Aon plc
0000087347,SLB,SCHLUMBERGER LIMITED/NV
0000319201,KLAC,KLA CORP
0000021665,CL,COLGATE PALMOLIVE CO
0000277948,CSX,CSX CORP
0000813672,CDNS,CADENCE DESIGN SYSTEMS INC
0000049071,HUM,HUMANA INC
0000718877,ATVI,"Activision Blizzard, Inc."
0001610520,UBS,UBS Group AG
0001017413,CNQ,CANADIAN NATURAL RESOURCES LTD
0000002969,APD,"Air Products & Chemicals, Inc."
0000865752,MNST,Monster Beverage Corp
0000927971,BMO,BANK OF MONTREAL /CAN/
0000089800,SHW,SHERWIN WILLIAMS CO
0000009631,BNS,BANK OF NOVA SCOTIA
0001571949,ICE,"Intercontinental Exchange, Inc."
0000917851,VALE,Vale S.A.
0001075124,TRI,THOMSON REUTERS CORP /CAN/
0000929869,RELX,RELX PLC
0001404912,KKR,KKR & Co. Inc.
0001110646,NTES,"NetEase, Inc."
0000899108,PRNDY,PERNOD RICARD S A /FI
0001059556,MCO,MOODYS CORP /DE/
0001058090,CMG,CHIPOTLE MEXICAN GRILL INC
0001124610,VMW,"VMWARE, INC."
0001327811,WDAY,"Workday, Inc."
0001048911,FDX,FEDEX CORP
0000040533,GD,GENERAL DYNAMICS CORP
0001835632,MRVL,"Marvell Technology, Inc."
0000898173,ORLY,O REILLY AUTOMOTIVE INC
0000891478,SAN,"Banco Santander, S.A."
0001061219,EPD,ENTERPRISE PRODUCTS PARTNERS L.P.
0000066740,MMM,3M CO
0000030554,CTA-PA,"EIDP, Inc."
0001262039,FTNT,"Fortinet, Inc."
0001022837,SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC."
0001648416,RACE,Ferrari N.V.
0001132597,ITUB,Itau Unibanco Holding S.A.
0000047111,HSY,HERSHEY CO
0000927653,MCK,MCKESSON CORP
0000797468,OXY,OCCIDENTAL PETROLEUM CORP /DE/
0001596532,ANET,"Arista Networks, Inc."
0001549802,JD,"JD.com, Inc."
0001048286,MAR,MARRIOTT INTERNATIONAL INC /MD/
0001001838,SCCO,SOUTHERN COPPER CORP/
0001393311,PSA,Public Storage
0001395064,TAK,TAKEDA PHARMACEUTICAL CO LTD
0001004315,NGG,NATIONAL GRID PLC
0000831259,FCX,FREEPORT-MCMORAN INC
0001091667,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/"
0001099800,EW,Edwards Lifesciences Corp
0001605484,STLA,Stellantis N.V.
0001944048,KVUE,Kenvue Inc.
0000040704,GIS,GENERAL MILLS INC
0001001085,BN,BROOKFIELD Corp /ON/
0001640147,SNOW,Snowflake Inc.
0001038357,PXD,PIONEER NATURAL RESOURCES CO
0001051470,CCI,CROWN CASTLE INC.
0000037996,F,FORD MOTOR CO
0001682852,MRNA,"Moderna, Inc."
0000882835,ROP,ROPER TECHNOLOGIES INC
0000702165,NSC,NORFOLK SOUTHERN CORP
0000068505,MSI,"Motorola Solutions, Inc."
0000723254,CTAS,CINTAS CORP
0000715153,HMC,HONDA MOTOR CO LTD
0000031462,ECL,ECOLAB INC.
0000713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC."
0001002242,E,ENI SPA
0001222333,GLD,SPDR GOLD TRUST
0001413447,NXPI,NXP Semiconductors N.V.
0001637459,KHC,Kraft Heinz Co
0001039765,ING,ING GROEP NV
0000036104,USB,US BANCORP DE
0001510295,MPC,Marathon Petroleum Corp
0001565025,ABEV,AMBEV S.A.
0001947559,ANZGY,ANZ GROUP HOLDINGS LIMITED/ADR
0001467858,GM,General Motors Co
0000055785,KMB,KIMBERLY CLARK CORP
0000820313,APH,AMPHENOL CORP /DE/
0000032604,EMR,EMERSON ELECTRIC CO
0001032208,SRE,SEMPRA
0000029534,DG,DOLLAR GENERAL CORP
0000866787,AZO,AUTOZONE INC
0001060391,RSG,"REPUBLIC SERVICES, INC."
0001093557,DXCM,DEXCOM INC
0001418135,KDP,Keurig Dr Pepper Inc.
0001329099,BIDU,"Baidu, Inc."
0001471055,BSBR,Banco Santander (Brasil) S.A.
0000844551,WDS,WOODSIDE ENERGY GROUP LTD
0000354190,AJG,Arthur J. Gallagher & Co.
0001534701,PSX,Phillips 66
0001260221,TDG,TransDigm Group INC
0001397187,LULU,lululemon athletica inc.
0000875045,BIIB,BIOGEN INC.
0001300514,LVS,LAS VEGAS SANDS CORP
0000827054,MCHP,MICROCHIP TECHNOLOGY INC
0000076334,PH,PARKER HANNIFIN CORP
0001650372,TEAM,Atlassian Corp
0000016918,STZ,"CONSTELLATION BRANDS, INC."
0000769397,ADSK,"Autodesk, Inc."
0000833444,JCI,Johnson Controls International plc
0000004904,AEP,AMERICAN ELECTRIC POWER CO INC
0000900075,CPRT,COPART INC
0000842180,BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
0000715957,D,"DOMINION ENERGY, INC"
0000718940,BCE,BCE INC
0001035002,VLO,VALERO ENERGY CORP/TX
0000092230,TFC,TRUIST FINANCIAL CORP
0001004980,PCG,PG&E Corp
0000004447,HES,HESS CORP
0000086312,TRV,"TRAVELERS COMPANIES, INC."
0001232384,TRP,TC ENERGY CORP
0001276187,ET,Energy Transfer LP
0001099219,MET,METLIFE INC
0000932787,STM,STMicroelectronics N.V.
0000007084,ADM,Archer-Daniels-Midland Co
0000726728,O,REALTY INCOME CORP
0000927628,COF,CAPITAL ONE FINANCIAL CORP
0001755672,CTVA,"Corteva, Inc."
0001109357,EXC,EXELON CORP
0000005272,AIG,"AMERICAN INTERNATIONAL GROUP, INC."
0000723531,PAYX,PAYCHEX INC
0000004977,AFL,AFLAC INC
0001167379,ALC,ALCON INC
0000874716,IDXX,IDEXX LABORATORIES INC /DE
0001045520,CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/
0001385157,TEL,TE Connectivity Ltd.
0001116578,PUK,PRUDENTIAL PLC
0001279967,CRARY,CREDIT AGRICOLE S A
0001063761,SPG,SIMON PROPERTY GROUP INC /DE/
0001900304,HLN,Haleon plc
0001408198,MSCI,MSCI Inc.
0001466258,TT,Trane Technologies plc
0001097864,ON,ON SEMICONDUCTOR CORP
0000311337,SU,SUNCOR ENERGY INC
0000075362,PCAR,PACCAR INC
0001858681,APO,"Apollo Global Management, Inc."
0001160106,LYG,Lloyds Banking Group plc
0001478242,IQV,IQVIA HOLDINGS INC.
0001335730,MFG,MIZUHO FINANCIAL GROUP INC
0000948696,HCMLY,LafargeHolcim Ltd/ADR
0000766704,WELL,WELLTOWER INC.
0001585689,HLT,Hilton Worldwide Holdings Inc.
0001535527,CRWD,"CrowdStrike Holdings, Inc."
0000895564,BAESY,BAE SYSTEMS PLC /FI/
0001506307,KMI,"KINDER MORGAN, INC."
0000882184,DHI,HORTON D R INC /DE/
0001041061,YUM,YUM BRANDS INC
0001060736,SGEN,Seagen Inc.
0001910139,MBLY,Mobileye Global Inc.
0000096021,SYY,SYSCO CORP
0000849395,CRH,CRH PUBLIC LTD CO
0001278680,IAU,ISHARES GOLD TRUST
0001512673,SQ,"Block, Inc."
0001932393,GEHC,GE HealthCare Technologies Inc.
0001318220,WCN,"Waste Connections, Inc."
0001751788,DOW,DOW INC.
0001090872,A,"AGILENT TECHNOLOGIES, INC."
0001571996,DELL,Dell Technologies Inc.
0000072903,XEL,XCEL ENERGY INC
0000745732,ROST,"ROSS STORES, INC."
0000107263,WMB,"WILLIAMS COMPANIES, INC."
0000878927,ODFL,"OLD DOMINION FREIGHT LINE, INC."
0001086888,MFC,MANULIFE FINANCIAL CORP
0000712515,EA,ELECTRONIC ARTS INC.
0001160330,BBD,BANK BRADESCO
0001071739,CNC,CENTENE CORP
0000073309,NUE,NUCOR CORP
0001037868,AME,AMETEK INC/
0001783180,CARR,CARRIER GLOBAL Corp
0001703399,SE,Sea Ltd
0001140859,ABC,AMERISOURCEBERGEN CORP
0000056873,KR,KROGER CO
0001552000,MPLX,MPLX LP
0000202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/"
0000003570,LNG,"Cheniere Energy, Inc."
0001781335,OTIS,Otis Worldwide Corp
0000277135,GWW,"W.W. GRAINGER, INC."
0001709048,GFS,GLOBALFOUNDRIES Inc.
0001671933,TTD,"Trade Desk, Inc."
0001618756,QSR,Restaurant Brands International Inc.
0001024478,ROK,"ROCKWELL AUTOMATION, INC"
0001947542,TLGPY,Telstra Group Ltd
0001038143,ORAN,ORANGE
0001381197,IBKR,"Interactive Brokers Group, Inc."
0001446596,FANUY,Fanuc Ltd
0000820027,AMP,AMERIPRISE FINANCIAL INC
0001164727,NEM,NEWMONT Corp /DE/
0001136893,FIS,"Fidelity National Information Services, Inc."
0001390777,BK,Bank of New York Mellon Corp
0001461748,PPERY,PT Bank Mandiri (Persero) Tbk / ADR
0001376891,EXPGY,Experian Group LTD
0001047862,ED,CONSOLIDATED EDISON INC
0001057352,CSGP,"COSTAR GROUP, INC."
0001132924,CHT,CHUNGHWA TELECOM CO LTD
0001475260,CVE,CENOVUS ENERGY INC.
0001058290,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP
0001691493,NU,Nu Holdings Ltd.
0000943819,RMD,RESMED INC
0000815556,FAST,FASTENAL CO
0000079879,PPG,PPG INDUSTRIES INC
0001442145,VRSK,"Verisk Analytics, Inc."
0000935703,DLTR,"DOLLAR TREE, INC."
0001666700,DD,"DuPont de Nemours, Inc."
0001110803,ILMN,"ILLUMINA, INC."
0001090012,DVN,DEVON ENERGY CORP/DE
0000047217,HPQ,HP INC
0000312069,BCS,BARCLAYS PLC
0001705696,VICI,VICI PROPERTIES INC.
0000920760,LEN,LENNAR CORP /NEW/
0001832433,FERG,Ferguson plc
0000026172,CMI,CUMMINS INC
0000844150,NWG,NatWest Group plc
0001561550,DDOG,"Datadog, Inc."
0000756894,GOLD,BARRICK GOLD CORP
0000788784,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC
0000014693,BF-B,BROWN FORMAN CORP
0001037646,MTD,METTLER TOLEDO INTERNATIONAL INC/
0001012037,CODYY,COMPAGNIE DE SAINT GOBAIN
0001297996,DLR,"DIGITAL REALTY TRUST, INC."
0001137774,PRU,PRUDENTIAL FINANCIAL INC
0001650107,CCEP,COCA-COLA EUROPACIFIC PARTNERS plc
0001639920,SPOT,Spotify Technology S.A.
0001330306,VWDRY,VESTAS WIND SYSTEMS A/S
0001321655,PLTR,Palantir Technologies Inc.
0001097362,SLF,SUN LIFE FINANCIAL INC
0000899051,ALL,ALLSTATE CORP
0001601046,KEYS,"Keysight Technologies, Inc."
0001701605,BKR,Baker Hughes Co
0001489393,LYB,LyondellBasell Industries N.V.
0000861967,WTKWY,WOLTERS KLUWER N V /FI
0000868675,TU,TELUS CORP
0001834584,CPNG,"Coupang, Inc."
0001456346,FNV,FRANCO NEVADA Corp
0001021020,OEZVY,OSTERREICHISCHE ELEKTRIZITATSWIRTSCHAFTS /FI
0001410636,AWK,"American Water Works Company, Inc."
0001437107,WBD,"Warner Bros. Discovery, Inc."
0001791706,LI,Li Auto Inc.
0001725964,NTR,Nutrien Ltd.
0001013462,ANSS,ANSYS INC
0000049938,IMO,IMPERIAL OIL LTD
0000783325,WEC,"WEC ENERGY GROUP, INC."
0001001807,TLK,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK
0000045012,HAL,HALLIBURTON CO
0001868275,CEG,Constellation Energy Corp
0000749251,IT,GARTNER INC
0000839923,VOD,VODAFONE GROUP PUBLIC LTD CO
0000850918,GWLIF,GREAT-WEST LIFECO INC.
0001041130,DIA,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST
0000024741,GLW,CORNING INC /NY
0001136869,ZBH,"ZIMMER BIOMET HOLDINGS, INC."
0001123799,WIT,WIPRO LTD
0001120193,NDAQ,"NASDAQ, INC."
0001393052,VEEV,VEEVA SYSTEMS INC
0001434265,GMAB,GENMAB A/S
0000947484,ACGL,ARCH CAPITAL GROUP LTD.
0001792789,DASH,"DoorDash, Inc."
0001123360,GPN,GLOBAL PAYMENTS INC
0001396009,VMC,Vulcan Materials CO
0001393612,DFS,Discover Financial Services
0001498632,DNBBY,DnB NOR ASA
0001618921,WBA,"Walgreens Boots Alliance, Inc."
0000033185,EFX,EQUIFAX INC
0001176948,ARES,Ares Management Corp
0001433913,BDORY,BANCO DO BRASIL S.A.
0001039684,OKE,ONEOK INC /NEW/
0000105770,WST,WEST PHARMACEUTICAL SERVICES INC
0001776985,BNTX,BioNTech SE
0000016988,CAJPY,CANON INC
0001050915,PWR,"QUANTA SERVICES, INC."
0000002809,AEM,AGNICO EAGLE MINES LTD
0000827052,EIX,EDISON INTERNATIONAL
